nx,ny,nz
4.853650927543640137e-01,1.835668236017227173e-01,8.548238873481750488e-01
4.334795475006103516e-01,6.661527603864669800e-02,8.986979126930236816e-01
5.719769597053527832e-01,8.317338675260543823e-02,8.160420060157775879e-01
5.216383337974548340e-01,2.225066870450973511e-01,8.236408233642578125e-01
5.712839961051940918e-01,1.746659427881240845e-01,8.019516468048095703e-01
3.962554931640625000e-01,2.426846921443939209e-01,8.854861855506896973e-01
8.805449306964874268e-02,2.638030350208282471e-01,9.605489969253540039e-01
1.079112216830253601e-01,1.326771229505538940e-01,9.852675199508666992e-01
-2.859807312488555908e-01,-8.628633618354797363e-01,4.167516231536865234e-01
6.978617906570434570e-01,-4.201991856098175049e-01,5.800185203552246094e-01
8.355216979980468750e-01,1.434645801782608032e-01,5.303974747657775879e-01
8.569243550300598145e-01,2.968097925186157227e-01,4.214079380035400391e-01
6.832177042961120605e-01,6.434711217880249023e-01,3.451932668685913086e-01
7.081219553947448730e-01,4.724715948104858398e-01,5.247226357460021973e-01
6.711214184761047363e-01,-3.902204930782318115e-01,6.303363442420959473e-01
-1.073744669556617737e-01,-9.117650389671325684e-01,3.964280188083648682e-01
2.853226959705352783e-01,-8.613719344139099121e-01,4.202729761600494385e-01
5.770910978317260742e-01,-5.069445371627807617e-01,6.402913928031921387e-01
8.427026867866516113e-01,2.344296574592590332e-01,4.846595823764801025e-01
9.076334238052368164e-01,-1.480245147831737995e-03,4.197609424591064453e-01
9.280314445495605469e-01,-9.211403131484985352e-02,3.609327375888824463e-01
9.388996958732604980e-01,1.695781648159027100e-01,2.995171248912811279e-01
9.343918561935424805e-01,2.000944167375564575e-01,2.947440147399902344e-01
9.253126382827758789e-01,1.026897057890892029e-01,3.650362789630889893e-01
8.727996349334716797e-01,2.901631221175193787e-02,4.872154891490936279e-01
6.279380917549133301e-01,-3.178988695144653320e-01,7.103759646415710449e-01
6.819903254508972168e-01,-4.205308556556701660e-01,5.983669757843017578e-01
3.323157727718353271e-01,-6.658264994621276855e-01,6.680129766464233398e-01
7.298601269721984863e-01,-2.682268917560577393e-01,6.287754178047180176e-01
7.208705544471740723e-01,-4.311496019363403320e-02,6.917273402214050293e-01
6.716466546058654785e-01,1.251488029956817627e-01,7.302249670028686523e-01
5.558034777641296387e-01,2.386869639158248901e-01,7.963109612464904785e-01
2.604107856750488281e-01,1.878509074449539185e-01,9.470470547676086426e-01
1.752916425466537476e-01,5.682378634810447693e-02,9.828752875328063965e-01
1.665432304143905640e-01,6.455163937062025070e-03,9.860131144523620605e-01
6.690405011177062988e-01,-2.622992098331451416e-01,6.954019665718078613e-01
7.717752456665039062e-01,-2.267039567232131958e-02,6.354911327362060547e-01
8.496508002281188965e-01,1.074906736612319946e-01,5.162744522094726562e-01
8.771852850914001465e-01,6.097109615802764893e-02,4.762651920318603516e-01
7.954472303390502930e-01,3.774045407772064209e-01,4.741620123386383057e-01
7.274845838546752930e-01,5.022288560867309570e-01,4.674744606018066406e-01
8.110128641128540039e-01,6.398397032171487808e-03,5.849933028221130371e-01
5.297800302505493164e-01,-6.628226637840270996e-01,5.291494727134704590e-01
4.681721925735473633e-01,-6.617758870124816895e-01,5.855489373207092285e-01
3.116334974765777588e-01,-1.204624921083450317e-01,9.425355792045593262e-01
7.663367986679077148e-01,2.495409548282623291e-01,5.919942259788513184e-01
7.797613143920898438e-01,2.615911662578582764e-01,5.688077807426452637e-01
6.383805871009826660e-01,3.253122270107269287e-01,6.975973844528198242e-01
5.221195816993713379e-01,3.280331194400787354e-01,7.872645258903503418e-01
-1.361556202173233032e-01,2.942162752151489258e-01,9.459906816482543945e-01
1.227457821369171143e-01,4.056585431098937988e-01,9.057453274726867676e-01
-5.542290583252906799e-02,9.618172794580459595e-02,9.938195943832397461e-01
6.940147280693054199e-01,-5.908561497926712036e-02,7.175322771072387695e-01
7.852048277854919434e-01,-2.211418747901916504e-01,5.784026384353637695e-01
8.180904984474182129e-01,-9.665156900882720947e-02,5.669094920158386230e-01
5.101977586746215820e-01,-3.143016397953033447e-01,8.005701899528503418e-01
3.190625607967376709e-01,1.970661133527755737e-01,9.270188212394714355e-01
4.760824739933013916e-01,6.343480944633483887e-01,6.090549826622009277e-01
3.437288701534271240e-01,4.096795320510864258e-01,8.449929952621459961e-01
1.113352254033088684e-01,2.370408028364181519e-01,9.650989770889282227e-01
3.508124649524688721e-01,2.433485537767410278e-01,9.042743444442749023e-01
-4.907232820987701416e-01,-1.118321791291236877e-01,8.641088604927062988e-01
3.397016972303390503e-02,-3.778747916221618652e-01,9.252332448959350586e-01
1.717415004968643188e-01,-2.271727025508880615e-01,9.585912823677062988e-01
2.444723993539810181e-01,-3.447442054748535156e-01,9.063027501106262207e-01
3.228336274623870850e-01,-6.422471404075622559e-01,6.951956152915954590e-01
-5.498833060264587402e-01,-5.413963794708251953e-01,6.360175609588623047e-01
-1.183582190424203873e-02,-6.045323610305786133e-01,7.964925169944763184e-01
3.014029860496520996e-01,-4.287998974323272705e-01,8.516377806663513184e-01
6.627089977264404297e-01,3.686502575874328613e-02,7.479691505432128906e-01
4.802242815494537354e-01,-3.069988489151000977e-01,8.216668367385864258e-01
1.633560098707675934e-02,-5.478382855653762817e-02,9.983646869659423828e-01
-1.921370741911232471e-03,-5.788330733776092529e-02,9.983215928077697754e-01
-5.418351665139198303e-02,-5.391369387507438660e-02,9.970744848251342773e-01
-1.064744442701339722e-01,-3.536441549658775330e-02,9.936863780021667480e-01
-8.092032372951507568e-02,-1.249150373041629791e-02,9.966423511505126953e-01
-5.402556434273719788e-02,3.511578589677810669e-02,9.979219436645507812e-01
-8.671224862337112427e-02,6.167327985167503357e-02,9.943225383758544922e-01
-9.137660264968872070e-02,6.029422581195831299e-02,9.939893484115600586e-01
2.004540991038084030e-03,1.648696139454841614e-02,9.998621344566345215e-01
2.841976843774318695e-02,-5.977265909314155579e-02,9.978072643280029297e-01
-1.160916779190301895e-02,-6.033175066113471985e-02,9.981108903884887695e-01
-4.794313281308859587e-05,-4.843829944729804993e-02,9.988261461257934570e-01
4.806761629879474640e-03,5.750311166048049927e-02,9.983336925506591797e-01
2.531364001333713531e-02,8.696597069501876831e-02,9.958897233009338379e-01
6.926979869604110718e-02,6.537262350320816040e-02,9.954537153244018555e-01
1.322076320648193359e-01,5.043893679976463318e-02,9.899379611015319824e-01
1.337547600269317627e-01,5.076051503419876099e-02,9.897136092185974121e-01
8.923766762018203735e-02,4.452410340309143066e-02,9.950146675109863281e-01
5.099116638302803040e-02,2.265728823840618134e-02,9.984421133995056152e-01
3.472181782126426697e-02,5.408925935626029968e-03,9.993823766708374023e-01
1.239206176251173019e-02,6.670256610959768295e-03,9.999009966850280762e-01
1.091709453612565994e-02,1.276003755629062653e-02,9.998590946197509766e-01
2.141393162310123444e-02,-9.991070255637168884e-03,9.997206926345825195e-01
5.827749613672494888e-03,-1.272780541330575943e-02,9.999020099639892578e-01
4.488038364797830582e-03,-1.333987992256879807e-02,9.999009370803833008e-01
-1.138353906571865082e-02,-1.210184209048748016e-02,9.998620152473449707e-01
-3.580050915479660034e-02,-1.660848408937454224e-02,9.992209076881408691e-01
-5.373652651906013489e-02,-2.261295914649963379e-02,9.982990026473999023e-01
-9.410447627305984497e-02,-5.273680761456489563e-02,9.941645860671997070e-01
-1.171851605176925659e-01,-5.388211458921432495e-02,9.916473031044006348e-01
-1.085461154580116272e-01,-4.363864660263061523e-02,9.931331276893615723e-01
-1.965871639549732208e-02,3.100212849676609039e-02,9.993259310722351074e-01
1.543692052364349365e-01,1.104648113250732422e-01,9.818185567855834961e-01
2.184992730617523193e-01,1.728728711605072021e-01,9.604025483131408691e-01
2.234742194414138794e-01,2.351762205362319946e-01,9.459129571914672852e-01
3.019547462463378906e-01,3.244009315967559814e-01,8.964303731918334961e-01
2.821244001388549805e-01,3.475108444690704346e-01,8.942270874977111816e-01
2.058046162128448486e-01,3.284030854701995850e-01,9.218437671661376953e-01
1.677897423505783081e-01,3.034751415252685547e-01,9.379495978355407715e-01
1.300623565912246704e-01,2.765665054321289062e-01,9.521527290344238281e-01
8.071587979793548584e-02,2.665719389915466309e-01,9.604291915893554688e-01
4.365264624357223511e-02,2.667143642902374268e-01,9.627866148948669434e-01
1.671393401920795441e-03,2.647374868392944336e-01,9.643190503120422363e-01
-3.902419656515121460e-02,2.388494163751602173e-01,9.702721834182739258e-01
-5.028324201703071594e-02,1.857340633869171143e-01,9.813126325607299805e-01
-1.362209673970937729e-02,1.496321409940719604e-01,9.886478781700134277e-01
-8.131016045808792114e-02,1.248919740319252014e-01,9.888329505920410156e-01
-1.108426675200462341e-01,1.194961518049240112e-01,9.866278767585754395e-01
-1.002437472343444824e-01,1.270322203636169434e-01,9.868201017379760742e-01
-1.455856561660766602e-01,1.256696432828903198e-01,9.813317656517028809e-01
-1.609574109315872192e-01,1.330475062131881714e-01,9.779525399208068848e-01
-1.304522156715393066e-01,1.442082226276397705e-01,9.809109568595886230e-01
1.698599383234977722e-02,1.153982728719711304e-01,9.931740164756774902e-01
5.339562147855758667e-02,7.728358358144760132e-02,9.955782890319824219e-01
1.005319692194461823e-02,3.130308166146278381e-02,9.994593262672424316e-01
4.188662860542535782e-04,1.639784872531890869e-02,9.998654723167419434e-01
-8.012786274775862694e-04,2.927022799849510193e-02,9.995712041854858398e-01
-1.461064070463180542e-02,5.950604379177093506e-02,9.981210231781005859e-01
-1.012240257114171982e-02,9.857974201440811157e-02,9.950776696205139160e-01
-6.959439255297183990e-03,1.337835639715194702e-01,9.909861087799072266e-01
3.028006060048937798e-03,1.408974528312683105e-01,9.900196194648742676e-01
5.103206261992454529e-02,9.852240979671478271e-02,9.938254952430725098e-01
7.450491189956665039e-02,4.588193818926811218e-02,9.961645603179931641e-01
9.468722343444824219e-02,1.907283253967761993e-02,9.953243136405944824e-01
1.043395027518272400e-01,1.068282127380371094e-02,9.944843053817749023e-01
9.921287000179290771e-02,1.673041097819805145e-02,9.949254989624023438e-01
1.010274812579154968e-01,1.038127020001411438e-02,9.948295354843139648e-01
8.361069113016128540e-02,1.746564172208309174e-02,9.963454008102416992e-01
6.193968653678894043e-02,1.136133074760437012e-02,9.980152249336242676e-01
4.339770600199699402e-02,1.214878261089324951e-02,9.989839792251586914e-01
2.851667627692222595e-02,1.665730774402618408e-02,9.994544982910156250e-01
2.604486420750617981e-02,8.155781775712966919e-03,9.996275305747985840e-01
2.668854594230651855e-02,1.424130052328109741e-02,9.995423555374145508e-01
1.106840465217828751e-02,-6.637957994826138020e-04,9.999384880065917969e-01
1.342876069247722626e-02,1.719252904877066612e-03,9.999083876609802246e-01
-3.540694946423172951e-03,-9.656442562118172646e-04,9.999933242797851562e-01
-6.825180258601903915e-03,-1.688333973288536072e-02,9.998342394828796387e-01
-3.426504880189895630e-02,-2.231175079941749573e-02,9.991637468338012695e-01
-4.334171488881111145e-02,-2.616150863468647003e-02,9.987176656723022461e-01
-8.694957941770553589e-02,-2.028543129563331604e-02,9.960061907768249512e-01
-1.052367910742759705e-01,-4.766000434756278992e-02,9.933044910430908203e-01
-1.880529150366783142e-02,-7.794100791215896606e-02,9.967805743217468262e-01
2.137397229671478271e-01,-4.531817138195037842e-02,9.758388400077819824e-01
3.709684014320373535e-01,-1.441529951989650726e-02,9.285336136817932129e-01
3.012540042400360107e-01,-2.409485727548599243e-02,9.532394409179687500e-01
2.140467017889022827e-01,-5.200090259313583374e-02,9.754383563995361328e-01
1.859317719936370850e-01,-5.744400247931480408e-02,9.808820486068725586e-01
1.511043459177017212e-01,-5.728651210665702820e-02,9.868564605712890625e-01
1.133232936263084412e-01,-5.257084220647811890e-02,9.921663999557495117e-01
8.120122551918029785e-02,-5.821353569626808167e-02,9.949962496757507324e-01
6.449842453002929688e-02,-6.604515016078948975e-02,9.957299232482910156e-01
7.216679304838180542e-02,-7.719316333532333374e-02,9.944008588790893555e-01
6.801524758338928223e-02,-1.169589534401893616e-01,9.908049702644348145e-01
1.021280735731124878e-01,-1.367996931076049805e-01,9.853201508522033691e-01
1.413161307573318481e-01,-1.087032631039619446e-01,9.839783906936645508e-01
1.304017901420593262e-01,-8.122880011796951294e-02,9.881280660629272461e-01
1.192686855792999268e-01,-6.787370890378952026e-02,9.905392527580261230e-01
1.205186918377876282e-01,-6.286607682704925537e-02,9.907184839248657227e-01
1.083968430757522583e-01,-5.664472281932830811e-02,9.924926161766052246e-01
1.023454293608665466e-01,-5.217987671494483948e-02,9.933794140815734863e-01
9.912308305501937866e-02,-5.610839650034904480e-02,9.934920668601989746e-01
1.029033213853836060e-01,-5.576639249920845032e-02,9.931268692016601562e-01
9.985770285129547119e-02,-4.527925327420234680e-02,9.939709305763244629e-01
1.089289411902427673e-01,-2.272000722587108612e-02,9.937898516654968262e-01
1.074250638484954834e-01,-2.750646509230136871e-02,9.938325285911560059e-01
1.312299817800521851e-01,-3.960824012756347656e-02,9.905604124069213867e-01
1.060060188174247742e-01,-4.812725633382797241e-02,9.932001829147338867e-01
4.428206756711006165e-02,-3.575805947184562683e-02,9.983789324760437012e-01
2.463821880519390106e-02,-3.221177309751510620e-02,9.991772770881652832e-01
1.619372889399528503e-02,-5.642476677894592285e-02,9.982754588127136230e-01
3.049561195075511932e-02,-9.820650517940521240e-02,9.946987032890319824e-01
1.536043640226125717e-02,-1.050735488533973694e-01,9.943458437919616699e-01
1.891413144767284393e-02,-1.067016795277595520e-01,9.941111207008361816e-01
2.390352450311183929e-02,-9.948711097240447998e-02,9.947517514228820801e-01
4.271394014358520508e-02,-4.903208091855049133e-02,9.978834986686706543e-01
2.582110231742262840e-03,-3.622875362634658813e-02,9.993401169776916504e-01
-3.862280771136283875e-02,-2.734631113708019257e-02,9.988796710968017578e-01
-7.271218299865722656e-01,-5.876033306121826172e-01,3.549875319004058838e-01
-4.024730622768402100e-01,-6.386278867721557617e-01,6.558733582496643066e-01
-2.235899567604064941e-01,-7.294924259185791016e-01,6.464118957519531250e-01
-2.483031600713729858e-01,-7.355497479438781738e-01,6.303269863128662109e-01
-2.882786691188812256e-01,-7.784836888313293457e-01,5.575469732284545898e-01
-4.132994711399078369e-01,-6.194432973861694336e-01,6.674379706382751465e-01
-5.030664205551147461e-01,-2.644307911396026611e-01,8.228003978729248047e-01
-5.284878015518188477e-01,-4.413246214389801025e-01,7.252126336097717285e-01
-6.044746041297912598e-01,-4.886833131313323975e-01,6.291255950927734375e-01
-3.768791854381561279e-01,-7.115008831024169922e-01,5.930671095848083496e-01
-2.348652780055999756e-01,-7.517498731613159180e-01,6.162064671516418457e-01
-3.960714042186737061e-01,-6.144492626190185547e-01,6.823338866233825684e-01
-3.881511092185974121e-01,-6.573456525802612305e-01,6.459376811981201172e-01
-1.722452491521835327e-01,-7.580075860023498535e-01,6.290913820266723633e-01
-2.581659257411956787e-01,-7.685940265655517578e-01,5.853319168090820312e-01
1.519530266523361206e-01,-7.896260619163513184e-01,5.944754481315612793e-01
-2.366482764482498169e-01,-7.935448884963989258e-01,5.606105327606201172e-01
-4.603823125362396240e-01,-6.504702568054199219e-01,6.040997505187988281e-01
8.194878697395324707e-02,-7.074540257453918457e-01,7.019922733306884766e-01
1.189647987484931946e-01,-7.108837962150573730e-01,6.931749582290649414e-01
-1.104105859994888306e-01,-7.020429372787475586e-01,7.035234570503234863e-01
-1.360884010791778564e-01,-7.236245870590209961e-01,6.766442656517028809e-01
-4.839935153722763062e-02,-7.480648159980773926e-01,6.618583798408508301e-01
-9.102009981870651245e-02,-7.448573708534240723e-01,6.609863638877868652e-01
-1.470546126365661621e-01,-6.399333477020263672e-01,7.542281746864318848e-01
-3.625430762767791748e-01,-7.913250327110290527e-01,4.923079907894134521e-01
-2.261244952678680420e-01,-9.411428570747375488e-01,2.512325942516326904e-01
-3.862765431404113770e-01,-8.961515426635742188e-01,2.184098511934280396e-01
-8.820152841508388519e-03,-8.910419940948486328e-01,4.538350403308868408e-01
7.006700038909912109e-01,-3.616032749414443970e-02,7.125685811042785645e-01
5.138039588928222656e-01,-1.178884953260421753e-01,8.497692346572875977e-01
3.088001012802124023e-01,-2.072995342314243317e-02,9.509010910987854004e-01
4.853025674819946289e-01,2.071129530668258667e-01,8.494619727134704590e-01
5.997377634048461914e-01,4.134939983487129211e-03,8.001859188079833984e-01
5.233565568923950195e-01,-3.754509091377258301e-01,7.649409174919128418e-01
5.818215012550354004e-01,-4.532586336135864258e-01,6.753075718879699707e-01
5.933468937873840332e-01,-4.802559614181518555e-01,6.459826231002807617e-01
6.805144548416137695e-01,-3.691287338733673096e-01,6.329644918441772461e-01
6.826926469802856445e-01,-3.721372187137603760e-01,6.288439035415649414e-01
7.130004167556762695e-01,-3.020012080669403076e-01,6.327919363975524902e-01
