nx,ny,nz
3.422368466854095459e-01,3.419454693794250488e-01,8.751841187477111816e-01
2.227317774668335915e-03,7.728375196456909180e-01,6.346000432968139648e-01
2.342508174479007721e-03,7.629444599151611328e-01,6.464598178863525391e-01
2.858947264030575752e-03,8.787407279014587402e-01,4.772908687591552734e-01
2.730551641434431076e-03,8.701390027999877930e-01,4.927988052368164062e-01
1.992898993194103241e-03,8.496494293212890625e-01,5.273441672325134277e-01
1.255670329555869102e-03,9.814962744712829590e-01,1.914770752191543579e-01
-4.454217851161956787e-02,9.924329519271850586e-01,1.144241839647293091e-01
-8.026534318923950195e-02,8.041443228721618652e-01,5.889901518821716309e-01
-4.304718598723411560e-02,7.831658720970153809e-01,6.203209757804870605e-01
3.254642244428396225e-03,7.120227217674255371e-01,7.021488547325134277e-01
4.922233056277036667e-03,8.691968917846679688e-01,4.944416284561157227e-01
8.876270614564418793e-03,9.097908735275268555e-01,4.149720370769500732e-01
7.185328286141157150e-03,8.148140907287597656e-01,5.796778202056884766e-01
2.534364117309451103e-03,8.750336170196533203e-01,4.840555787086486816e-01
7.790348026901483536e-04,8.268089890480041504e-01,5.624822974205017090e-01
1.237481366842985153e-03,8.317966461181640625e-01,5.550791621208190918e-01
2.483465708792209625e-03,7.810748219490051270e-01,6.244325637817382812e-01
4.219874739646911621e-03,8.765524029731750488e-01,4.812879562377929688e-01
3.998760133981704712e-03,7.745407819747924805e-01,6.325113177299499512e-01
4.143923055380582809e-03,8.474293351173400879e-01,5.308920741081237793e-01
4.884082358330488205e-03,8.504293560981750488e-01,5.260665416717529297e-01
5.039053037762641907e-03,8.551189303398132324e-01,5.184074044227600098e-01
4.632646217942237854e-03,8.539412617683410645e-01,5.203487277030944824e-01
3.807540517300367355e-03,8.539149761199951172e-01,5.203984975814819336e-01
2.561243018135428429e-03,7.341870665550231934e-01,6.789423823356628418e-01
2.227460965514183044e-03,7.736553549766540527e-01,6.336027979850769043e-01
2.043229760602116585e-03,8.030311465263366699e-01,5.959335565567016602e-01
2.010773634538054466e-03,6.352666616439819336e-01,7.722902894020080566e-01
2.867583418264985085e-03,7.802972793579101562e-01,6.254022121429443359e-01
2.854133490473031998e-03,7.502559423446655273e-01,6.611413359642028809e-01
2.909443806856870651e-03,8.647313714027404785e-01,5.022261738777160645e-01
1.838513533584773540e-03,8.654676079750061035e-01,5.009614229202270508e-01
9.916621493175625801e-04,8.830944895744323730e-01,4.691941440105438232e-01
1.521328813396394253e-03,9.069008827209472656e-01,4.213412404060363770e-01
2.870674710720777512e-03,8.942725658416748047e-01,4.475135803222656250e-01
3.151723183691501617e-03,7.438241839408874512e-01,6.683679223060607910e-01
3.577068680897355080e-03,7.439866662025451660e-01,6.681848764419555664e-01
